13.3497162,74.7916803
13.3497174,74.7916774
13.3497194,74.7916721
13.3497209,74.7916669
13.3497221,74.7916615
13.3497232,74.7916563
13.3497235,74.7916537
13.3497239,74.7916515
13.3497254,74.7916472
13.3497271,74.7916432
13.3497293,74.7916388
13.3497319,74.7916337
13.3497343,74.7916291
13.3497367,74.7916243
13.3497379,74.7916216
13.3497381,74.7916214
13.3497382,74.7916212
13.3497382,74.791621
13.3497382,74.7916208
13.3497383,74.7916207
13.3497384,74.7916205
13.3497385,74.7916203
13.3497387,74.7916201
13.3497388,74.7916199
13.3497389,74.7916197
13.3497392,74.7916194
13.3497395,74.7916191
