-0.42,-0.48,9.9,2.875,-2.5,94.5625
-0.41,-0.47,9.93,2.875,-2.5,94.5625
-0.38,-0.49,9.91,2.875,-2.5,94.5625
-0.42,-0.49,9.94,2.875,-2.5,94.5625
-0.43,-0.47,9.97,2.875,-2.5,94.5625
-0.16,-0.51,9.9,2.875,-2.5,94.5625
-1.74,-6.43,9.71,3.3125,-2.625,94.5
-0.85,-5.63,11.35,3.6875,-2.5625,94.375
0.11,-0.84,8.58,3.1875,-2.5,94.3125
-0.37,-1.24,10.69,3.3125,-2.5625,94.4375
-0.86,-1.4,10.29,3.0,-2.6875,94.625
-1.07,-0.18,9.37,2.6875,-2.625,94.75
-1.19,-0.23,9.88,2.75,-2.625,94.75
-0.94,-0.29,9.44,2.875,-2.4375,94.4375
-0.17,-0.01,9.52,2.9375,-2.5625,94.125
0.26,-1.26,9.54,3.125,-2.5,94.0
-0.43,-0.43,10.56,2.9375,-2.3125,94.0625
-0.74,0.38,10.5,2.625,-2.25,94.125
0.55,-0.37,9.31,2.6875,-2.1875,94.0625
-0.28,-1.29,8.78,2.6875,-2.3125,94.0
-0.65,-0.03,12.45,2.5625,-2.0625,93.8125
0.43,-0.7,9.87,2.4375,-2.125,93.625
0.1,-0.04,7.39,2.3125,-2.25,93.6875
-0.48,-0.42,11.39,2.5,-2.375,93.75
-0.76,-0.65,11.96,2.375,-2.5,93.6875
-0.24,-0.49,8.66,2.3125,-2.625,93.4375
-0.3,-0.6,9.53,2.25,-2.625,93.5
-0.32,0.01,11.95,2.0625,-2.6875,93.5
-0.26,-0.66,10.01,2.25,-2.5625,93.4375
-0.36,-0.25,8.89,2.375,-2.8125,93.3125
-0.84,-0.68,9.25,2.5,-2.5625,93.25
-0.36,-0.3,11.74,2.4375,-2.625,93.1875
-0.46,-0.36,8.82,2.625,-2.5,93.0625
-0.3,-0.62,8.0,2.6875,-2.5625,92.9375
-0.35,-1.11,10.28,2.625,-2.375,92.875
0.06,-0.34,11.07,2.625,-2.1875,92.8125
-0.43,-0.75,8.8,2.625,-2.25,92.75
-0.01,-0.21,9.76,2.6875,-2.1875,92.6875
-0.31,-0.37,12.31,2.75,-2.4375,92.6875
-0.5,-0.32,9.31,2.6875,-2.3125,92.6875
-0.64,-0.48,8.89,2.6875,-2.5625,92.6875
0.0,-0.74,11.31,2.6875,-2.5625,92.5625
-0.2,-0.45,10.59,2.6875,-2.6875,92.5625
-0.36,-0.45,9.4,2.625,-2.75,92.4375
-0.99,-0.39,9.2,2.625,-2.6875,92.3125
-0.45,-0.46,9.53,2.6875,-2.6875,92.3125
0.19,-0.63,11.64,2.8125,-2.625,92.3125
0.64,-1.14,9.79,2.9375,-2.625,92.25
-0.36,-0.76,8.71,2.9375,-2.8125,92.1875
-1.49,-1.0,9.22,3.0625,-2.8125,92.1875
-1.85,-0.59,10.73,3.0625,-2.75,92.125
-0.05,-0.13,12.42,3.0,-2.625,91.9375
1.2,-0.38,8.53,3.0,-2.5625,91.8125
0.14,-0.48,8.57,3.125,-2.5625,91.6875
-1.24,-0.83,12.39,2.9375,-2.5625,91.5625
-1.31,-0.13,10.41,2.8125,-2.5,91.5
0.15,-1.28,6.98,2.9375,-2.625,91.5625
0.58,-0.64,9.88,3.125,-2.8125,91.5625
0.22,-1.1,13.06,3.1875,-2.875,91.5
-1.29,-0.22,8.79,3.1875,-3.0625,91.4375
-1.72,-0.08,7.61,3.3125,-2.9375,91.4375
0.05,-0.36,12.85,3.4375,-2.9375,91.3125
0.49,-1.22,12.1,3.625,-3.0,91.0625
-0.12,-0.61,6.42,3.625,-2.75,91.0
-0.86,-0.14,10.0,3.5,-2.9375,91.0
-0.27,-0.42,11.24,3.5,-2.5625,90.875
-0.32,-0.38,11.08,3.4375,-2.8125,90.8125
-0.22,-0.23,6.77,3.5,-2.6875,90.6875
0.2,-0.34,11.19,3.5,-2.5625,90.6875
-1.06,-0.63,10.99,3.3125,-2.6875,90.625
-0.59,-0.16,8.4,3.3125,-2.625,90.5
-0.03,-1.2,9.6,3.3125,-2.625,90.4375
0.11,-0.99,9.99,3.1875,-2.5,90.3125
